752,412,999,688,478,938,901,497,349,112,653,405,371,737,131,876,923,602,953,500
160,541,159,770,244,367,255,759,395,780,664,460,614,534,532,252,948,265,254,470
109,552,740,922,240,359,352,245,946,930,602,316,498,610,927,925,923,718,728,818
185,430,216,966,736,167,578,343,875,942,246,954,496,317,240,965,569,474,347,595
725,736,254,899,920,321,305,818,154,866,480,639,225,692,530,542,818,842,303,830
247,611,592,302,237,601,106,662,470,104,107,670,934,409,524,406,908,646,875,177
712,441,481,970,323,853,723,798,508,611,946,630,139,704,413,489,161,707,328,645
244,386,495,127,927,844,750,604,813,459,916,558,576,131,984,226,405,211,448,468
364,426,750,583,261,691,711,482,311,172,197,941,283,970,872,279,637,580,497,861
242,431,782,567,205,263,350,622,598,573,228,369,192,603,215,303,685,196,566,652
576,411,167,870,961,435,356,962,606,106,460,200,139,865,242,246,964,738,464,524
160,254,281,880,525,949,665,598,554,948,354,537,670,346,438,317,128,618,408,368
653,882,229,796,424,856,293,584,181,343,251,986,407,876,635,127,194,307,270,372
410,897,512,814,768,785,349,686,150,828,113,178,343,598,243,966,406,971,580,131
531,298,661,723,803,455,255,200,156,269,129,749,388,437,482,235,891,543,771,250
351,777,698,145,992,181,819,607,187,659,214,268,816,192,776,833,289,956,262,399
298,930,183,936,167,252,742,670,703,664,456,555,872,493,972,147,489,232,823,609
244,913,597,393,233,629,674,246,371,482,570,576,969,587,136,568,570,106,344,514
497,670,114,638,887,448,314,813,971,774,173,422,704,486,841,203,409,381,484,632
385,532,931,332,797,776,469,450,151,844,519,833,429,376,937,486,466,923,828,804
